sent_correct,sent_wrong
The horse raced down the track and won the race easily.,The horse raced down the track and bargained the race easily.
The boat sailed down the river and sank during the storm.,The boat sailed down the river and coughed during the storm.
The car rolled down the hill and stopped when it hit a tree.,The car rolled down the hill and complained when it hit a tree.
The rocket shot into the sky and exploded in a fireball.,The rocket shot into the sky and laughed in a fireball.
The team rested for several days and won the championship.,The team rested for several days and burned the championship.
The executive showed the report and frowned after the meeting.,The executive showed the report and floated after the meeting.
The applicant refused the job and complained to the government agency.,The applicant refused the job and exploded to the government agency.
The man paid for the job and left his work gloves behind.,The man paid for the job and popped his work gloves behind.
The runner expected to win and lost the race instead.,The runner expected to win and ducked the race instead.
The little girl read the sad story and cried about it for days.,The little girl read the sad story and cracked about it for days.
The man told the truth and resigned in disgrace.,The man told the truth and milked in disgrace.
The doctor rushed to the scene and helped to revive the victim.,The doctor rushed to the scene and saluted to revive the victim.
The actress called from New York and complained to her agent.,The actress called from New York and sank to her agent.
The lawyer hurried through the proceedings and blundered during his presentation.,The lawyer hurried through the proceedings and hit during his presentation.
The fielder tossed the ball and missed his chance to tag out the runner.,The fielder tossed the ball and unpacked his chance to tag out the runner.
The student lectured on honesty and lied about his grades.,The student lectured on honesty and docked about his grades.
The corporation moved to New Jersey and grew very rapidly.,The corporation moved to New Jersey and sneezed very rapidly.
The player passed the ball and scored the touchdown.,The player passed the ball and slept the touchdown.
The man phoned from Chicago and volunteered for the job.,The man phoned from Chicago and collided for the job.
The boy told the joke and laughed at the punch line.,The boy told the joke and dropped at the punch line.
The spy watched for several days and escaped over the fence.,The spy watched for several days and barked over the fence.
The man mailed the letter and waited for a reply.,The man mailed the letter and steered for a reply.
The patient left in pain and died the next day.,The patient left in pain and floated the next day.
The dealer sold the car and complained about the transmission.,The dealer sold the car and sank about the transmission.
The company sued for damages and lost the case.,The company sued for damages and resigned the case.
The politician read the funny story and laughed for several minutes.,The politician read the funny story and cried for several minutes.
The lady sent the flowers and blushed when she thought about them.,The lady sent the flowers and popped when she thought about them.
The employee asked to retire and resigned from the company.,The employee asked to retire and guessed from the company.
The barge floated across the lake and docked next to the warehouse.,The barge floated across the lake and laughed next to the warehouse.
The boxer pushed into the ring and fought three good rounds.,The boxer pushed into the ring and wrote three good rounds.
The car raced around the speedway and crashed into a wall.,The car raced around the speedway and bargained into a wall.
The plane sailed through the air and landed on the runway.,The plane sailed through the air and laughed on the runway.
The puppy rolled the ball and barked at it.,The puppy rolled the ball and applauded at it.
The arrow shot into the air and fell into a haystack.,The arrow shot into the air and resigned into a haystack.
The patient rested for the night and recovered quickly from the operation.,The patient rested for the night and collided quickly from the operation.
The professor asked a question and responded with a thoughtful comment.,The professor asked a question and docked with a thoughtful comment.
The manager refused the raise and quit his job.,The manager refused the raise and clawed his job.
The worker paid the tip and left his wallet on the table.,The worker paid the tip and popped his wallet on the table.
The actress expected to star and failed in her role in the play.,The actress expected to star and saluted in her role in the play.
The criminal stopped in New York and fled into a nearby store.,The criminal stopped in New York and sank into a nearby store.
The army battalion rushed to the front and retreated after the battle.,The army battalion rushed to the front and bit after the battle.
The boy rushed to the hospital and collapsed on the emergency room floor.,The boy rushed to the hospital and steered on the emergency room floor.
The flight attendant called to the cockpit and returned to the cabin.,The flight attendant called to the cockpit and milked to the cabin.
The old man hurried across the street and fell down the stairwell.,The old man hurried across the street and flew down the stairwell.
The boy tossed the frisbee and ran across the field.,The boy tossed the frisbee and slept across the field.
The gambler dealt the cards and lost the pot of money.,The gambler dealt the cards and broke the pot of money.
