original_sentence,syntactic_anomaly,semantic_anomaly
The cats won’t eat the food that Mary gives them.,The cats won’t eating the food that Mary gives them.,The cats won’t bake the food that Mary gives them.
The astronomer’s argument might prove that there are three canals on the moon.,The astronomer’s argument might proving that there are three canals on the moon.,The astronomer’s argument might shout that there are three canals on the moon.
"In case of a break-in, the alarm system will warn that there is an intruder.","In case of a break-in, the alarm system will warning that there is an intruder.","In case of a break-in, the alarm system will swear that there is an intruder."
The new species of orchid will grow in tropical regions.,The new species of orchid will growing in tropical regions.,The new species of orchid will sing in tropical regions.
This expensive ointment will cure all known forms of skin disease.,This expensive ointment will curing all known forms of skin disease.,This expensive ointment will loathe all known forms of skin disease.
This old electric blender doesn’t crush ice cubes anymore.,This old electric blender doesn’t crushing ice cubes anymore.,This old electric blender doesn’t own ice cubes anymore.
This exotic spice may add the oriental flavour that John enjoys.,This exotic spice may adding the oriental flavour that John enjoys.,This exotic spice may seek the oriental flavour that John enjoys.
The new fighter plane can fly faster than anyone had expected.,The new fighter plane can flying faster than anyone had expected.,The new fighter plane can walk faster than anyone had expected.
The boxes in the attic may still hold many old photographs and souvenirs.,The boxes in the attic may still holding many old photographs and souvenirs.,The boxes in the attic may still find many old photographs and souvenirs.
This test of reasoning might fail to discriminate among students.,This test of reasoning might failing to discriminate among students.,This test of reasoning might hate to discriminate among students.
The puppy seems to like/calling to sleep a lot during the day.,The puppy seems to liking/calling to sleep a lot during the day.,The puppy seems to call/calling to sleep a lot during the day.
The cowboy always gives his horse a chance to drink from the stream.,The cowboy always gives his horse a chance to drinking from the stream.,The cowboy always gives his horse a chance to fish from the stream.
"Billy bumped his bicycle, causing it to fall into the street.","Billy bumped his bicycle, causing it to falling into the street.","Billy bumped his bicycle, causing it to sneeze into the street."
The therapist hoped that the new drug would calm the patient who was so anxious.,The therapist hoped that the new drug would calming the patient who was so anxious.,The therapist hoped that the new drug would clean the patient who was so anxious.
The new software package will print very elaborate pictures.,The new software package will printing very elaborate pictures.,The new software package will glue very elaborate pictures.
The publisher hoped that the textbook would draw students with a variety of interests.,The publisher hoped that the textbook would drawing students with a variety of interests.,The publisher hoped that the textbook would hear students with a variety of interests.
William thought that he would fit right in with the crowd at the reception.,William thought that he would fitting right in with the crowd at the reception.,William thought that he would dig right in with the crowd at the reception.
Mary knew that the food at the hotel would cost too much.,Mary knew that the food at the hotel would costing too much.,Mary knew that the food at the hotel would fight too much.
The hikers noticed that the boulder seemed to rest precariously on the mountain.,The hikers noticed that the boulder seemed to resting precariously on the mountain.,The hikers noticed that the boulder seemed to live precariously on the mountain.
"At the aquarium, there are otters that swim and do tricks for the crowds.","At the aquarium, there are otters that swimming and do tricks for the crowds.","At the aquarium, there are otters that fly and do tricks for the crowds."
"Every day at three, the newspapers should land on the porch out front.","Every day at three, the newspapers should landing on the porch out front.","Every day at three, the newspapers should dance on the porch out front."
The tree in the backyard can’t sprout new buds in this weather.,The tree in the backyard can’t sprouting new buds in this weather.,The tree in the backyard can’t sell new buds in this weather.
Most physicians believe that the new drugs can prevent many forms of disease.,Most physicians believe that the new drugs can preventing many forms of disease.,Most physicians believe that the new drugs can study many forms of disease.
The composer agreed that his music should enchant the public.,The composer agreed that his music should enchanting the public.,The composer agreed that his music should question the public.
The repairman thinks that the leaky tub might bother the tenants downstairs.,The repairman thinks that the leaky tub might bothering the tenants downstairs.,The repairman thinks that the leaky tub might ask the tenants downstairs.
This rare herb can heal the pains in your back.,This rare herb can healing the pains in your back.,This rare herb can count the pains in your back.
The farmhouse is so old that it scares the neighbours.,The farmhouse is so old that it scaring the neighbours.,The farmhouse is so old that it writes the neighbours.
The teacher said our report must not last for more than ten minutes.,The teacher said our report must not lasting for more than ten minutes.,The teacher said our report must not cry for more than ten minutes.
"In the nation’s landfills, chemicals of different sorts may mix to create lethal substances.","In the nation’s landfills, chemicals of different sorts may mixing to create lethal substances.","In the nation’s landfills, chemicals of different sorts may hope to create lethal substances."
The simulated accident might frighten the children enough so that they will wear their bike helmets.,The simulated accident might frightening the children enough so that they will wear their bike helmets.,The simulated accident might ignore the children enough so that they will wear their bike helmets.
The plumber said that the leaking water might seep out from behind the refrigerator.,The plumber said that the leaking water might seeping out from behind the refrigerator.,The plumber said that the leaking water might speak out from behind the refrigerator.
The fingerprints on the gun could prove that the defendant is innocent.,The fingerprints on the gun could proving that the defendant is innocent.,The fingerprints on the gun could judge that the defendant is innocent.
The beavers in the pond sometimes chew the garden hose.,The beavers in the pond sometimes chewing the garden hose.,The beavers in the pond sometimes melt the garden hose.
