task_name,layer,score
left_branch_island_simple_question,0,0.617
left_branch_island_simple_question,1,0.559
left_branch_island_simple_question,2,0.349
left_branch_island_simple_question,3,0.215
left_branch_island_simple_question,4,0.179
left_branch_island_simple_question,5,0.276
left_branch_island_simple_question,6,0.399
left_branch_island_simple_question,7,0.61
left_branch_island_simple_question,8,0.82
left_branch_island_simple_question,9,0.916
left_branch_island_simple_question,10,0.928
left_branch_island_simple_question,11,0.921
left_branch_island_simple_question,12,0.533
inchoative,0,0.211
inchoative,1,0.249
inchoative,2,0.301
inchoative,3,0.411
inchoative,4,0.488
inchoative,5,0.577
inchoative,6,0.624
inchoative,7,0.622
inchoative,8,0.585
inchoative,9,0.637
inchoative,10,0.743
inchoative,11,0.73
inchoative,12,0.641
superlative_quantifiers_2,0,0.418
superlative_quantifiers_2,1,0.468
superlative_quantifiers_2,2,0.58
superlative_quantifiers_2,3,0.672
superlative_quantifiers_2,4,0.635
superlative_quantifiers_2,5,0.441
superlative_quantifiers_2,6,0.708
superlative_quantifiers_2,7,0.604
superlative_quantifiers_2,8,0.692
superlative_quantifiers_2,9,0.752
superlative_quantifiers_2,10,0.748
superlative_quantifiers_2,11,0.697
superlative_quantifiers_2,12,0.558
adjunct_island,0,0.439
adjunct_island,1,0.578
adjunct_island,2,0.435
adjunct_island,3,0.576
adjunct_island,4,0.475
adjunct_island,5,0.568
adjunct_island,6,0.733
adjunct_island,7,0.881
adjunct_island,8,0.913
adjunct_island,9,0.935
adjunct_island,10,0.933
adjunct_island,11,0.882
adjunct_island,12,0.52
determiner_noun_agreement_with_adj_2,0,0.473
determiner_noun_agreement_with_adj_2,1,0.472
determiner_noun_agreement_with_adj_2,2,0.607
determiner_noun_agreement_with_adj_2,3,0.763
determiner_noun_agreement_with_adj_2,4,0.922
determiner_noun_agreement_with_adj_2,5,0.938
determiner_noun_agreement_with_adj_2,6,0.932
determiner_noun_agreement_with_adj_2,7,0.951
determiner_noun_agreement_with_adj_2,8,0.932
determiner_noun_agreement_with_adj_2,9,0.969
