task,layer,score
Morphosyntax - BLiMP (Subject-Verb),0,-0.093349949
Morphosyntax - BLiMP (Subject-Verb),1,0.052964328
Morphosyntax - BLiMP (Subject-Verb),2,0.201729731
Morphosyntax - BLiMP (Subject-Verb),3,0.637775049
Morphosyntax - BLiMP (Subject-Verb),4,1.164931976
Morphosyntax - BLiMP (Subject-Verb),5,1.368890946
Morphosyntax - BLiMP (Subject-Verb),6,1.430833502
Morphosyntax - BLiMP (Subject-Verb),7,1.315972394
Morphosyntax - BLiMP (Subject-Verb),8,1.311048939
Morphosyntax - BLiMP (Subject-Verb),9,1.272250154
Morphosyntax - BLiMP (Subject-Verb),10,1.845997992
Morphosyntax - BLiMP (Subject-Verb),11,1.669519484
Morphosyntax - BLiMP (Subject-Verb),12,0.792463171
Morphosyntax - BLiMP (Det-Noun),0,0.150235948
Morphosyntax - BLiMP (Det-Noun),1,0.163548606
Morphosyntax - BLiMP (Det-Noun),2,0.382593155
Morphosyntax - BLiMP (Det-Noun),3,0.968353245
Morphosyntax - BLiMP (Det-Noun),4,1.257510065
Morphosyntax - BLiMP (Det-Noun),5,1.085602673
Morphosyntax - BLiMP (Det-Noun),6,1.031827783
Morphosyntax - BLiMP (Det-Noun),7,1.308287957
Morphosyntax - BLiMP (Det-Noun),8,1.210261164
Morphosyntax - BLiMP (Det-Noun),9,1.600114987
Morphosyntax - BLiMP (Det-Noun),10,1.788606189
Morphosyntax - BLiMP (Det-Noun),11,1.690077845
Morphosyntax - BLiMP (Det-Noun),12,0.915274875
Morphosyntax - Osterhout and Nicol,0,0.214648629
Morphosyntax - Osterhout and Nicol,1,0.198274007
Morphosyntax - Osterhout and Nicol,2,0.608860355
Morphosyntax - Osterhout and Nicol,3,1.17463311
Morphosyntax - Osterhout and Nicol,4,1.63852425
Morphosyntax - Osterhout and Nicol,5,1.621243234
Morphosyntax - Osterhout and Nicol,6,1.79731462
Morphosyntax - Osterhout and Nicol,7,2.070073587
Morphosyntax - Osterhout and Nicol,8,1.984589705
Morphosyntax - Osterhout and Nicol,9,2.20583485
Morphosyntax - Osterhout and Nicol,10,2.37028223
Morphosyntax - Osterhout and Nicol,11,2.465329208
Morphosyntax - Osterhout and Nicol,12,1.411124158
Selectional - BLiMP (Animacy),0,-0.208842288
Selectional - BLiMP (Animacy),1,-0.157156464
Selectional - BLiMP (Animacy),2,-0.172645116
Selectional - BLiMP (Animacy),3,-0.112422064
Selectional - BLiMP (Animacy),4,0.073638785
Selectional - BLiMP (Animacy),5,0.324161166
Selectional - BLiMP (Animacy),6,0.453649215
Selectional - BLiMP (Animacy),7,0.518445505
Selectional - BLiMP (Animacy),8,0.461372941
Selectional - BLiMP (Animacy),9,0.442563485
Selectional - BLiMP (Animacy),10,0.723814475
Selectional - BLiMP (Animacy),11,0.696847466
Selectional - BLiMP (Animacy),12,0.053900488
Selectional - Pylkkänen and McElree,0,0.474038909
Selectional - Pylkkänen and McElree,1,0.198269578
Selectional - Pylkkänen and McElree,2,0.082640871
Selectional - Pylkkänen and McElree,3,0.453884008
Selectional - Pylkkänen and McElree,4,0.923362792
Selectional - Pylkkänen and McElree,5,1.364226386
Selectional - Pylkkänen and McElree,6,1.723098311
Selectional - Pylkkänen and McElree,7,1.551271236
Selectional - Pylkkänen and McElree,8,1.557887937
Selectional - Pylkkänen and McElree,9,1.813927209
Selectional - Pylkkänen and McElree,10,1.688247521
Selectional - Pylkkänen and McElree,11,1.885081444
Selectional - Pylkkänen and McElree,12,1.028646818
Selectional - Warren et al.,0,-0.221802798
Selectional - Warren et al.,1,-0.19586092
Selectional - Warren et al.,2,-0.121565092
Selectional - Warren et al.,3,-0.082708614
Selectional - Warren et al.,4,0.173127804
Selectional - Warren et al.,5,0.264569347
Selectional - Warren et al.,6,0.238743962
Selectional - Warren et al.,7,0.426459429
Selectional - Warren et al.,8,0.371871179
Selectional - Warren et al.,9,0.461633996
Selectional - Warren et al.,10,0.598660249
Selectional - Warren et al.,11,0.912003821
Selectional - Warren et al.,12,1.012202487
Selectional - Osterhout and Nicol,0,0.057787646
Selectional - Osterhout and Nicol,1,-0.043282988
Selectional - Osterhout and Nicol,2,-0.049661902
Selectional - Osterhout and Nicol,3,-0.086930414
Selectional - Osterhout and Nicol,4,0.055557331
Selectional - Osterhout and Nicol,5,0.141665792
Selectional - Osterhout and Nicol,6,0.176215443
Selectional - Osterhout and Nicol,7,0.348238683
Selectional - Osterhout and Nicol,8,0.346437904
Selectional - Osterhout and Nicol,9,0.575095442
Selectional - Osterhout and Nicol,10,0.888761096
Selectional - Osterhout and Nicol,11,1.028322619
Selectional - Osterhout and Nicol,12,0.4185113
Selectional - Osterhout and Mobley,0,0.248926376
Selectional - Osterhout and Mobley,1,0.044929376
Selectional - Osterhout and Mobley,2,-0.008822132
Selectional - Osterhout and Mobley,3,-0.14398353
Selectional - Osterhout and Mobley,4,-0.01907464
Selectional - Osterhout and Mobley,5,0.189095231
Selectional - Osterhout and Mobley,6,0.317244902
Selectional - Osterhout and Mobley,7,0.577074465
Selectional - Osterhout and Mobley,8,0.522631687
Selectional - Osterhout and Mobley,9,0.950824799
Selectional - Osterhout and Mobley,10,1.236036063
Selectional - Osterhout and Mobley,11,1.34247338
Selectional - Osterhout and Mobley,12,0.468742638
Pragmatic - Warren et al.,0,-0.27279207
Pragmatic - Warren et al.,1,-0.383070003
Pragmatic - Warren et al.,2,-0.341972621
Pragmatic - Warren et al.,3,-0.259769363
Pragmatic - Warren et al.,4,-0.118837995
Pragmatic - Warren et al.,5,-0.030501811
Pragmatic - Warren et al.,6,-0.186141344
Pragmatic - Warren et al.,7,-0.122287881
Pragmatic - Warren et al.,8,-0.086060538
Pragmatic - Warren et al.,9,-0.158750497
Pragmatic - Warren et al.,10,-0.017412619
Pragmatic - Warren et al.,11,0.05117337
Pragmatic - Warren et al.,12,0.415958363
Pragmatic - Federmeier and Kutas,0,0.060704884
Pragmatic - Federmeier and Kutas,1,-0.09436378
Pragmatic - Federmeier and Kutas,2,-0.124407637
Pragmatic - Federmeier and Kutas,3,0.017251222
Pragmatic - Federmeier and Kutas,4,0.158495861
Pragmatic - Federmeier and Kutas,5,0.123068452
Pragmatic - Federmeier and Kutas,6,0.158998549
Pragmatic - Federmeier and Kutas,7,0.214396379
